entry_bar,exit_bar,entry_mid,entry_exec,exit_mid,exit_exec,qty,position_usd,pool_depth_usd,max_pos_usd,gross_pnl,slippage_cost,gas_cost,net_pnl,exit_reason
161,186,1.1965418809241793e-05,1.214490009138042e-05,1.1973921853062141e-05,1.1794313025266209e-05,16467817.643221756,200.0,81861.19048693306,818.6119048693306,0.14002657504581711,5.913430447886771,1.0,-6.773403872840954,breakdown
206,216,1.1975321481207326e-05,1.2154951303425436e-05,1.1962100991129017e-05,1.1782669476262081e-05,16443054.927436734,199.86453192254316,102078.43096460355,1020.7843096460356,-0.2173852445252773,5.904065288008274,1.0,-7.121450532533552,breakdown
253,265,1.196198150323027e-05,1.2141411225778723e-05,1.1962271764614124e-05,1.1782837688144913e-05,16449661.344790071,199.7221029118925,122243.71897718523,1222.4371897718522,0.004774701465870193,5.903187962745411,1.0,-6.898413261279541,breakdown
294,315,1.19808870664264e-05,1.2160600372422794e-05,1.1980378416494462e-05,1.1800672740247045e-05,16412358.64466642,199.58413464666694,140491.2946517343,1404.912946517343,-0.008348145107544887,5.898913240286449,1.0,-6.907261385393993,breakdown
387,388,1.199735738287444e-05,1.2177317743617556e-05,1.1989421214958095e-05,1.1809579896733724e-05,16378482.816833273,199.44598941895904,180799.3972133948,1807.993972133948,-0.1299823898493703,5.8930056164367635,1.0,-7.022988006286134,breakdown
475,478,1.1996374268257967e-05,1.2176319882281835e-05,1.1979825525067125e-05,1.1800128142191118e-05,16368289.56414404,199.30552965883334,221096.431474238,2210.96431474238,-0.27087462047035354,5.886740712973733,1.0,-7.157615333444086,breakdown
832,840,1.1914400613318965e-05,1.2093116622518748e-05,1.190978437222184e-05,1.1731137606638513e-05,16469069.435855899,199.16237735216444,376648.073890726,3766.4807389072603,-0.07602519516118755,5.885432351693206,1.0,-6.961457546854393,breakdown
967,993,1.2675883423101553e-05,1.2866021674448074e-05,1.2701223454934163e-05,1.251070510311015e-05,15468895.765696354,199.02314820122734,441044.58704060066,4410.445870406007,0.39198231111807386,5.888337316969057,1.0,-6.496355005850983,breakdown
1078,1098,1.2721396953035735e-05,1.2912217907331269e-05,1.3545080200600635e-05,1.3341903997591626e-05,15403490.130706608,198.89322110111033,492690.9729113851,4926.909729113851,12.687596774694304,6.068931324067027,1.0,5.618665450627278,take_profit
1098,1109,1.3545080200600635e-05,1.3748256403609642e-05,1.3533196830684944e-05,1.3330198878224669e-05,14480249.787210196,199.07818686287973,502640.73223405966,5026.407322340597,-0.1720741646930226,5.881503228304376,1.0,-7.053577392997399,breakdown
1285,1303,1.471907017478763e-05,1.4939856227409443e-05,1.46987457771568e-05,1.4478264590499447e-05,13311006.467211891,198.86452286226293,589136.5694165416,5891.365694165416,-0.2705381883061562,5.873711075813722,1.0,-7.144249264119878,breakdown
1397,1413,1.5232346865980777e-05,1.5460832068970488e-05,1.5237790846075728e-05,1.5009223983384592e-05,12853230.472363127,198.72163787698054,638904.001956956,6389.04001956956,0.06997273084736765,5.874595538065583,1.0,-6.804622807218216,breakdown
1463,1471,1.5248339440131355e-05,1.5477064531733324e-05,1.5245005137274189e-05,1.5016330060215075e-05,12830956.736897185,198.58554542083618,647052.9796528145,6470.529796528144,-0.042782295708006325,5.868881775539833,1.0,-6.91166407124784,breakdown
1604,1620,1.5125763590253687e-05,1.5352650044107492e-05,1.51198335901698e-05,1.4893036086317253e-05,12925932.107439483,198.44731213941122,647903.3439463887,6479.033439463887,-0.0766507784814279,5.864288035546755,1.0,-6.940938814028183,breakdown
2123,2133,1.4863954278959025e-05,1.5086913593143409e-05,1.4849594574087623e-05,1.462685065547631e-05,13144404.396486798,198.30849336313065,653190.4146117143,6531.904146117144,-0.18874976784390718,5.858503532688173,1.0,-7.0472533005320805,breakdown
2201,2218,1.6010592039747604e-05,1.6250750920343815e-05,1.6001686388862317e-05,1.5761661093029383e-05,12194362.541674316,198.16754829712002,656365.5455624405,6563.6554556244055,-0.10859873556476808,5.855539934152343,1.0,-6.964138669717111,breakdown
2276,2282,1.6015267508907338e-05,1.6255496521540947e-05,1.5984953974536575e-05,1.5745179664918525e-05,12182234.1914508,198.02826552372568,656695.4432022016,6566.954432022017,-0.3692865748752276,5.847512884344134,1.0,-7.216799459219361,breakdown
2319,2327,1.6052280168572236e-05,1.6293064371100818e-05,1.604173041874061e-05,1.58011044624595e-05,12145286.17989935,197.88392953454127,655815.9714341881,6558.159714341881,-0.1281297308314574,5.846864148654511,1.0,-6.974993879485968,breakdown
2333,2355,1.6061368327722557e-05,1.6302288852638393e-05,1.60751187355908e-05,1.583399195455694e-05,12129856.82221845,197.74442965695158,655609.5864410033,6556.095864410033,0.16679047868890956,5.847164802705997,1.0,-6.680374324017087,breakdown
2484,2503,1.6010757259093228e-05,1.6250918617979626e-05,1.603685299626614e-05,1.5796300201322147e-05,12159978.57203219,197.61082217047124,656811.3755147983,6568.113755147983,0.31732360484399613,5.8454738098501355,1.0,-6.528150205006139,breakdown
2573,2590,1.7266688944154364e-05,1.7525689278316677e-05,1.7244478678678173e-05,1.6985811498498e-05,11268045.212390006,197.4802591663711,651496.5708979651,6514.965708979651,-0.25026627556490216,5.833100956596708,1.0,-7.08336723216161,breakdown
2656,2666,1.7247562887103145e-05,1.750627633040969e-05,1.723271049892054e-05,1.697421984143673e-05,11272448.126443442,197.33859182172787,654180.0448602643,6541.800448602643,-0.1674227753422378,5.830156396943105,1.0,-6.997579172285342,breakdown
2764,2787,1.7250193536354744e-05,1.7508946439400063e-05,1.725458397632617e-05,1.6995765216681275e-05,11262735.93450087,197.19864023828214,654413.4352601008,6544.134352601008,0.04944836603444547,5.829272964060433,1.0,-6.7798245980259875,breakdown
2812,2842,1.8395961246502835e-05,1.8671900665200374e-05,1.841679200910907e-05,1.8140540128972435e-05,10553989.509680526,197.0630437463216,655008.0385051337,6550.0803850513375,0.21984765002486187,5.827821175232785,1.0,-6.607973525207923,breakdown
2843,2852,1.843550908268137e-05,1.871204171892159e-05,1.841555498975341e-05,1.8139321664907106e-05,10524286.298308175,196.93088427581745,657228.6636848998,6572.286636848999,-0.21000258679691414,5.81746723043403,1.0,-7.027469817230944,breakdown
2980,3000,1.8454813717797814e-05,1.873163592356478e-05,1.8452322008093704e-05,1.81755371779723e-05,10505774.064928655,196.7903348794728,657085.5746051127,6570.8557460511265,-0.02617733918676521,5.816070439798093,1.0,-6.842247778984858,breakdown
3054,3058,1.8487855440133403e-05,1.8765173271735404e-05,1.846423713336516e-05,1.8187273576364684e-05,10479705.520230806,196.65348992389306,656172.0182627753,6561.720182627752,-0.24751289981765182,5.808705727898589,1.0,-7.056218627716241,breakdown
3095,3114,1.850803149195513e-05,1.8785651964334455e-05,1.8499267753766286e-05,1.822177873745979e-05,10460768.991378516,196.51236555133877,658009.3174930024,6580.093174930024,-0.09167544069443313,5.806872126064622,1.0,-6.8985475667590554,breakdown
3136,3147,1.8562215284099076e-05,1.8840648513360562e-05,1.854686210674919e-05,1.8268659175147953e-05,10422910.573420426,196.37439460000363,657620.1963908179,6576.201963908179,-0.16002479453572788,5.801768926604239,1.0,-6.9617937211399665,breakdown
3224,3227,1.8536659369887636e-05,1.881470926043595e-05,1.8525236041053632e-05,1.824735750043783e-05,10429879.94176605,196.23515872558085,659304.9457920237,6593.049457920237,-0.11914394827396972,5.798266793256112,1.0,-6.917410741530082,breakdown
3253,3270,1.9500167235372614e-05,1.9792669743903203e-05,1.9475755700892585e-05,1.9183619365379197e-05,9907547.240874594,196.09681051075023,658984.9908724977,6589.849908724977,-0.24185843108312294,5.792336966216025,1.0,-7.034195397299148,breakdown
3285,3312,1.953142628992645e-05,1.9824397684275344e-05,1.953727165244911e-05,1.9244212577662373e-05,9884594.211819919,195.95612660280426,659549.6037491069,6595.496037491069,0.05777903655747424,5.792673383168193,1.0,-6.7348943466107185,breakdown
3407,3418,1.9406636740054966e-05,1.969773629115579e-05,1.9410799216056896e-05,1.9119637227816044e-05,9941316.393995747,195.82142871587203,661412.937412364,6614.1293741236395,0.04138049091760168,5.7884461866506225,1.0,-6.747065695733021,breakdown
3434,3442,1.9460158599355884e-05,1.975206097834622e-05,1.9436691544889426e-05,1.9145141171716085e-05,9907142.733939737,195.68648740195738,661190.6215134969,6611.906215134969,-0.23249145814434233,5.780349694195541,1.0,-7.012841152339884,breakdown
3466,3526,1.947711135635026e-05,1.9769268026695514e-05,2.0129210400850574e-05,1.9827272244837817e-05,9891424.92857368,195.54623057891058,660458.7490723463,6604.587490723463,6.450188744669474,5.876444375374296,1.0,-0.426255630704822,timeout
3572,3594,2.0177706388941e-05,2.0480371984775113e-05,2.0198280575360717e-05,1.9895306366730306e-05,9547566.109231664,195.5377054662965,659362.8843169499,6593.628843169499,0.1964334049859056,5.782386071507197,1.0,-6.585952666521291,breakdown
3688,3721,2.2582405224374257e-05,2.2921141302739867e-05,2.26273748668369e-05,2.2287964243834347e-05,8525142.087475738,195.4059864129661,659928.5978228761,6599.2859782287605,0.38337259161702675,5.7812969853166045,1.0,-6.3979243936995775,breakdown
3801,3810,2.2613144406361802e-05,2.295234157245723e-05,2.260089865865765e-05,2.2261885178777786e-05,8507978.469587842,195.27802792509206,658830.8973107375,6588.308973107375,-0.10418655781092039,5.770201573803044,1.0,-6.874388131613965,breakdown
3919,3935,2.247658352042223e-05,2.2813732273228562e-05,2.2471442135540977e-05,2.213437050350786e-05,8553643.824051231,195.14054016245976,656462.5319545026,6564.625319545026,-0.04397757503661115,5.76704103083139,1.0,-6.811018605868001,breakdown
4041,4048,2.2914968252463353e-05,2.32586927762503e-05,2.2902216013065608e-05,2.2558682772869624e-05,8384147.882526889,195.0043197903424,654853.5383744327,6548.535383744327,-0.10691666094407834,5.762070726647684,1.0,-6.868987387591762,breakdown
4124,4135,2.411032269185071e-05,2.447197753222847e-05,2.4092311237405432e-05,2.373092656884435e-05,7962860.369006133,194.86694004259058,653763.0798496136,6537.630798496136,-0.14342269679045963,5.757462650954761,1.0,-6.90088534774522,breakdown
